ID,CardSourceID,CardHolderID,DateIn,ReportField1,ReportField2,DateOut,HoursWorked
7361,1080,223108622,NULL,,,4/11/2017 12:15,0
7362,1080,218468627,NULL,,,4/11/2017 12:16,0
7363,1080,220288385,NULL,,,4/11/2017 12:17,0
7364,1080,232531681,NULL,,,4/11/2017 12:19,0
7365,1080,226749372,NULL,,,4/11/2017 12:19,0
7366,1080,220315097,NULL,,,4/11/2017 12:20,0
7367,1080,215219718,NULL,,,4/11/2017 12:21,0
7368,1080,219567153,NULL,,,4/11/2017 12:22,0
7369,1080,212915938,NULL,,,4/11/2017 12:23,0
7370,1080,214586885,NULL,,,4/11/2017 12:23,0
7371,1080,216631093,NULL,,,4/11/2017 12:23,0
7372,1080,220162838,NULL,,,4/11/2017 12:24,0
7373,1080,220378293,NULL,,,4/11/2017 12:24,0
7374,1080,236052197,NULL,,,4/11/2017 12:24,0
7375,1080,214381733,NULL,,,4/11/2017 12:24,0
7376,1080,218609774,NULL,,,4/11/2017 12:24,0
7377,1080,231764408,NULL,,,4/11/2017 12:28,0
7378,1080,220879977,NULL,,,4/11/2017 12:44,0
7379,1080,220328215,NULL,,,4/11/2017 12:44,0
7380,1080,221125842,NULL,,,4/11/2017 12:45,0
7381,1080,216061812,NULL,,,4/11/2017 12:46,0
7382,1080,222028235,NULL,,,4/11/2017 12:46,0
7383,1080,216046821,NULL,,,4/11/2017 12:46,0
7384,1080,220301287,NULL,,,4/11/2017 12:46,0
7385,1080,220126635,NULL,,,4/11/2017 12:46,0
7386,1080,217436815,NULL,,,4/11/2017 12:48,0
7387,1080,220306765,NULL,,,4/11/2017 12:49,0
7388,1080,220962914,NULL,,,4/11/2017 12:49,0
7389,1080,219995776,NULL,,,4/11/2017 12:49,0
7390,1080,221273410,NULL,,,4/11/2017 12:49,0
7391,1080,221142714,NULL,,,4/11/2017 12:50,0
7392,1080,216095224,NULL,,,4/11/2017 12:50,0
7393,1080,220149744,NULL,,,4/11/2017 12:50,0
7394,1080,220368674,NULL,,,4/11/2017 12:50,0
7395,1080,221373046,NULL,,,4/11/2017 12:51,0
7396,1080,221373053,NULL,,,4/11/2017 12:51,0
7397,1080,215559154,NULL,,,4/11/2017 12:51,0
7398,1080,220274336,NULL,,,4/11/2017 12:52,0
7399,1080,216885871,NULL,,,4/11/2017 12:52,0
7400,1080,220370043,NULL,,,4/11/2017 12:52,0
7401,1080,231551847,NULL,,,4/11/2017 12:52,0
7402,1080,207052606,NULL,,,4/11/2017 13:15,0
7403,1080,217953355,NULL,,,4/11/2017 13:15,0
