CardHolderID,Date
"218688414","12/5/2016"
"236052197","12/16/2016"
"223323965","4/3/2017"
"215689365","3/2/2017"
"221381601","12/16/2016"
"218611424","1/13/2017"
"215883398","3/2/2017"
"223323965","2/14/2017"
"239651193","11/28/2016"
"227169133","4/4/2017"
"217865765","1/13/2017"
"226857217","5/9/2017"
"220317283","4/13/2017"
"219935822","3/7/2017"
"222581233","4/4/2017"
"214330821","5/9/2017"
"216490482","1/4/2017"
"226857217","4/18/2017"
"220360051","9/30/2016"
"220360051","9/19/2016"
"220117584","5/5/2017"
"236958724","1/9/2017"
"216273300","12/21/2016"
"225266394","12/5/2016"
"222487142","4/6/2017"
"222537607","12/5/2016"
"220814677","1/23/2017"
"218611424","12/15/2016"
"219828266","1/13/2017"
"220076152","12/1/2016"
"225766187","10/12/2016"
"215238999","12/15/2016"
"215455122","12/7/2016"
"220117584","1/24/2017"
"222700791","10/13/2016"
"217008168","1/9/2017"
"216273300","12/16/2016"
"220796759","12/15/2016"
"212915938","1/23/2017"
"214712432","5/11/2017"
"216249656","1/4/2017"
"223323965","2/8/2017"
"218923126","1/19/2017"
"236959060","1/9/2017"
"216061812","1/9/2017"
"223124025","2/15/2017"
"216273300","5/5/2017"
"220214647","12/14/2016"
"234048551","11/28/2016"
"220814677","12/15/2016"
"226857217","4/6/2017"
"220117584","5/10/2017"
"214481558","3/1/2017"
"220012389","3/2/2017"
"226857217","4/3/2017"
"223497041","11/17/2016"
"216055574","4/5/2017"
"217197987","2/13/2017"
"219936788","12/20/2016"
"220117584","5/11/2017"
"220814677","12/16/2016"
"214842387","1/12/2017"
"219935822","3/2/2017"
"217182989","12/16/2016"
"220360051","12/15/2016"
"214481558","3/2/2017"
"212915938","11/17/2016"
"209097179","1/23/2017"
"224357764","12/15/2016"
"220360051","9/12/2016"
"222552374","12/1/2016"
"221013758","12/2/2016"
"218611424","2/14/2017"
"218545978","1/10/2017"
"214313231","12/16/2016"
"227453891","1/9/2017"
"220012579","1/13/2017"
"225766187","10/21/2016"
"215540311","11/10/2016"
"221373053","1/12/2017"
"219056090","4/5/2017"
"220202287","4/3/2017"
"225766187","10/14/2016"
"214751406","12/5/2016"
"215883398","3/6/2017"
"216538280","12/16/2016"
"225266394","4/3/2017"
"218738615","2/15/2017"
"223497041","11/30/2016"
"215366907","11/15/2016"
"223137142","2/10/2017"
"220872287","1/13/2017"
"221775752","3/31/2017"
"220370043","1/4/2017"
"223269341","12/1/2016"
"221855265","11/17/2016"
"220801286","2/15/2017"
"234048551","1/13/2017"
