ID,CardSourceID,CardHolderID,DateIn,InTime,ReportField1,ReportField2,DateOut,OutTime,HoursWorked
5436,73,237164439,3/24/2017,8:47,,,NULL,NULL,0
7093,73,215883398,4/7/2017,8:57,,,NULL,NULL,0
7090,73,220389456,4/7/2017,8:52,,,NULL,NULL,0
7091,73,221373046,4/7/2017,8:55,,,NULL,NULL,0
5438,73,212804280,3/24/2017,8:51,,,NULL,NULL,0
5439,73,221855265,3/24/2017,8:53,,,NULL,NULL,0
7098,73,220314793,4/7/2017,9:39,,,NULL,NULL,0
5369,73,217315563,NULL,NULL,,,3/23/2017,15:33,0
4353,73,215170036,NULL,NULL,,,3/15/2017,12:30,0
4244,73,221038375,NULL,NULL,,,3/15/2017,10:58,0
7290,73,219936788,4/11/2017,8:33,,,NULL,NULL,0
7291,73,222822959,4/11/2017,8:34,,,NULL,NULL,0
7292,73,222028235,4/11/2017,8:35,,,NULL,NULL,0
7293,73,205438062,4/11/2017,8:35,,,NULL,NULL,0
7294,73,220135701,4/11/2017,8:36,,,NULL,NULL,0
7295,73,222656407,4/11/2017,8:36,,,NULL,NULL,0
7296,73,216487447,4/11/2017,8:36,,,NULL,NULL,0
7297,73,221013717,4/11/2017,8:36,,,NULL,NULL,0
7298,73,215883398,4/11/2017,8:37,,,NULL,NULL,0
7299,73,219714201,4/11/2017,8:37,,,NULL,NULL,0
4279,73,221013758,NULL,NULL,,,3/15/2017,11:23,0
4278,73,242942639,NULL,NULL,,,3/15/2017,11:23,0
4245,73,218601979,NULL,NULL,,,3/15/2017,11:01,0
4243,73,226730190,NULL,NULL,,,3/15/2017,10:58,0
7485,73,217197698,4/12/2017,8:34,,,NULL,NULL,0
7484,73,232702704,4/12/2017,8:34,,,NULL,NULL,0
4378,73,216564161,3/16/2017,9:00,,,NULL,NULL,0
4379,73,220389456,3/16/2017,9:00,,,NULL,NULL,0
7481,73,237002209,4/12/2017,8:33,,,NULL,NULL,0
7480,73,224358028,4/12/2017,8:32,,,NULL,NULL,0
5658,73,224458307,3/27/2017,8:48,,,NULL,NULL,0
7482,73,221013717,4/12/2017,8:33,,,NULL,NULL,0
5656,73,214788507,3/27/2017,8:48,,,NULL,NULL,0
5657,73,221142714,3/27/2017,8:48,,,NULL,NULL,0
5654,73,216538280,3/27/2017,8:43,,,NULL,NULL,0
5655,73,221373053,3/27/2017,8:43,,,NULL,NULL,0
5652,73,226730190,3/27/2017,8:42,,,NULL,NULL,0
5653,73,221373046,3/27/2017,8:43,,,NULL,NULL,0
4374,73,214242224,3/16/2017,8:54,,,NULL,NULL,0
4375,73,215675604,3/16/2017,8:54,,,NULL,NULL,0
4930,73,219293461,3/22/2017,8:40,,,NULL,NULL,0
4931,73,221142714,3/22/2017,8:40,,,NULL,NULL,0
