"2502","212767156","1/13/2017","In Attendance","212767156|1/13/2017"
"2550","212804280","1/23/2017","In Attendance","212804280|1/23/2017"
"2551","212804280","1/24/2017","Unexcused Absence","212804280|1/24/2017"
"2605","212804280","5/5/2017","Unexcused Absence","212804280|5/5/2017"
"2610","212804280","1/19/2017","Unexcused Absence","212804280|1/19/2017"
"2612","212804280","1/23/2017","In Attendance","212804280|1/23/2017"
"2613","212804280","1/24/2017","Unexcused Absence","212804280|1/24/2017"
"14866","212804280","1/19/2017","Tardy","212804280|1/19/2017"
"51536","212804280","5/5/2017","Tardy","212804280|5/5/2017"
"52544","212804280","5/9/2017","Tardy","212804280|5/9/2017"
"52545","212804280","5/9/2017","Tardy","212804280|5/9/2017"
"53351","212804280","5/10/2017","Tardy","212804280|5/10/2017"
"53352","212804280","5/10/2017","Tardy","212804280|5/10/2017"
"54238","212804280","5/11/2017","Tardy","212804280|5/11/2017"
"54242","212804280","5/11/2017","Tardy","212804280|5/11/2017"
"2654","212915938","1/4/2017","Unexcused Absence","212915938|1/4/2017"
"2656","212915938","1/10/2017","In Attendance","212915938|1/10/2017"
"2664","212915938","1/23/2017","Excused Absence","212915938|1/23/2017"
"2695","212915938","1/10/2017","In Attendance","212915938|1/10/2017"
"2696","212915938","1/23/2017","In Attendance","212915938|1/23/2017"
"2698","212915938","11/17/2016","Excused Absence","212915938|11/17/2016"
"2700","212915938","11/28/2016","In Attendance","212915938|11/28/2016"
"2749","212915938","11/17/2016","In Attendance","212915938|11/17/2016"
"2750","212915938","11/28/2016","In Attendance","212915938|11/28/2016"
"2769","212915938","1/4/2017","In Attendance","212915938|1/4/2017"
"2770","213026750","1/4/2017","In Attendance","213026750|1/4/2017"
"2771","213026750","1/11/2017","In Attendance","213026750|1/11/2017"
"2772","213026750","2/6/2017","In Attendance","213026750|2/6/2017"
"2773","213026750","2/28/2017","In Attendance","213026750|2/28/2017"
"2854","213026750","1/4/2017","In Attendance","213026750|1/4/2017"
"2859","213026750","1/11/2017","Excused Absence","213026750|1/11/2017"
"2860","213026750","1/12/2017","Unexcused Absence","213026750|1/12/2017"
"2861","213026750","1/13/2017","In Attendance","213026750|1/13/2017"
"2876","213026750","2/6/2017","In Attendance","213026750|2/6/2017"
"2885","213026750","2/28/2017","In Attendance","213026750|2/28/2017"
"2925","213026750","1/9/2017","In Attendance","213026750|1/9/2017"
"2926","213026750","1/10/2017","In Attendance","213026750|1/10/2017"
"2927","213026750","1/12/2017","In Attendance","213026750|1/12/2017"
"2928","213026750","1/13/2017","In Attendance","213026750|1/13/2017"
"12015","213026750","1/9/2017","Tardy","213026750|1/9/2017"
"12083","213026750","1/10/2017","Tardy","213026750|1/10/2017"
"2972","213145568","1/4/2017","In Attendance","213145568|1/4/2017"
"2985","213145568","1/23/2017","In Attendance","213145568|1/23/2017"
"2986","213145568","1/24/2017","In Attendance","213145568|1/24/2017"
"3085","213145568","1/4/2017","In Attendance","213145568|1/4/2017"
"3086","213145568","1/23/2017","In Attendance","213145568|1/23/2017"
"3087","213145568","1/24/2017","In Attendance","213145568|1/24/2017"
"3133","213403314","1/10/2017","Excused Absence","213403314|1/10/2017"
"3141","213403314","1/23/2017","Excused Absence","213403314|1/23/2017"
"3235","213403314","12/16/2016","In Attendance","213403314|12/16/2016"
"3240","213403314","1/10/2017","In Attendance","213403314|1/10/2017"
"3241","213403314","1/23/2017","In Attendance","213403314|1/23/2017"
"3243","213403314","12/15/2016","Excused Absence","213403314|12/15/2016"
"9476","213403314","12/14/2016","Tardy","213403314|12/14/2016"
"9481","213403314","12/14/2016","Tardy","213403314|12/14/2016"
"10092","213403314","12/15/2016","Tardy","213403314|12/15/2016"
"10414","213403314","12/16/2016","Tardy","213403314|12/16/2016"
"3257","213442296","12/5/2016","In Attendance","213442296|12/5/2016"
"3258","213442296","12/6/2016","Unexcused Absence","213442296|12/6/2016"
"3259","213442296","12/8/2016","Unexcused Absence","213442296|12/8/2016"
"3260","213442296","12/15/2016","Unexcused Absence","213442296|12/15/2016"
"3334","213442296","12/5/2016","In Attendance","213442296|12/5/2016"
"3335","213442296","12/6/2016","Unexcused Absence","213442296|12/6/2016"
"3336","213442296","12/8/2016","In Attendance","213442296|12/8/2016"
"3341","213442296","12/15/2016","Unexcused Absence","213442296|12/15/2016"
"3479","213443674","12/15/2016","In Attendance","213443674|12/15/2016"
"3480","213443674","12/16/2016","In Attendance","213443674|12/16/2016"
"3481","213443674","12/19/2016","Unexcused Absence","213443674|12/19/2016"
"3482","213443674","12/20/2016","In Attendance","213443674|12/20/2016"
"3483","213443674","12/21/2016","In Attendance","213443674|12/21/2016"
"3484","213443674","12/22/2016","In Attendance","213443674|12/22/2016"
"3485","213443674","1/4/2017","In Attendance","213443674|1/4/2017"
"3486","213443674","1/4/2017","In Attendance","213443674|1/4/2017"
"3530","213443674","12/15/2016","In Attendance","213443674|12/15/2016"
"3531","213443674","12/16/2016","In Attendance","213443674|12/16/2016"
"3532","213443674","12/19/2016","Excused Absence","213443674|12/19/2016"
"3533","213443674","12/20/2016","In Attendance","213443674|12/20/2016"
"3534","213443674","12/21/2016","In Attendance","213443674|12/21/2016"
"3535","213443674","12/22/2016","In Attendance","213443674|12/22/2016"
"3569","213686009","1/19/2017","In Attendance","213686009|1/19/2017"
"3570","213686009","1/23/2017","In Attendance","213686009|1/23/2017"
"3630","213686009","5/5/2017","In Attendance","213686009|5/5/2017"
"3640","213686009","1/19/2017","In Attendance","213686009|1/19/2017"
"3645","213686009","5/5/2017","In Attendance","213686009|5/5/2017"
"15344","213686009","1/23/2017","Tardy","213686009|1/23/2017"
"15728","213686009","1/24/2017","Tardy","213686009|1/24/2017"
"15730","213686009","1/24/2017","Tardy","213686009|1/24/2017"
"52595","213686009","5/9/2017","Tardy","213686009|5/9/2017"
"52596","213686009","5/9/2017","Tardy","213686009|5/9/2017"
"53357","213686009","5/10/2017","Tardy","213686009|5/10/2017"
"53362","213686009","5/10/2017","Tardy","213686009|5/10/2017"
"54253","213686009","5/11/2017","Tardy","213686009|5/11/2017"
"54254","213686009","5/11/2017","Tardy","213686009|5/11/2017"
"3678","213777147","5/5/2017","In Attendance","213777147|5/5/2017"
"3680","213777147","5/9/2017","In Attendance","213777147|5/9/2017"
"3681","213777147","5/10/2017","In Attendance","213777147|5/10/2017"
"3682","213777147","5/11/2017","In Attendance","213777147|5/11/2017"
"3712","213777147","1/4/2017","In Attendance","213777147|1/4/2017"
"3725","213777147","1/23/2017","In Attendance","213777147|1/23/2017"
"3726","213777147","1/24/2017","In Attendance","213777147|1/24/2017"
"3731","213777147","1/31/2017","In Attendance","213777147|1/31/2017"
"3755","213777147","1/4/2017","In Attendance","213777147|1/4/2017"
"3756","213777147","5/5/2017","In Attendance","213777147|5/5/2017"
"3757","213777147","5/9/2017","In Attendance","213777147|5/9/2017"
"3758","213777147","5/10/2017","In Attendance","213777147|5/10/2017"
"3759","213777147","5/11/2017","In Attendance","213777147|5/11/2017"
"3760","213777147","1/31/2017","In Attendance","213777147|1/31/2017"
"3761","213777147","1/23/2017","In Attendance","213777147|1/23/2017"
"3762","213777147","1/24/2017","In Attendance","213777147|1/24/2017"
"3803","214242224","1/4/2017","In Attendance","214242224|1/4/2017"
"3901","214242224","12/15/2016","In Attendance","214242224|12/15/2016"
"3902","214242224","12/16/2016","In Attendance","214242224|12/16/2016"
"3903","214242224","12/19/2016","In Attendance","214242224|12/19/2016"
"3904","214242224","12/20/2016","In Attendance","214242224|12/20/2016"
"3905","214242224","12/21/2016","In Attendance","214242224|12/21/2016"
"3906","214242224","12/22/2016","In Attendance","214242224|12/22/2016"
"3907","214242224","1/4/2017","In Attendance","214242224|1/4/2017"
"3908","214242224","12/15/2016","Excused Absence","214242224|12/15/2016"
"3909","214242224","12/16/2016","In Attendance","214242224|12/16/2016"
"3910","214242224","12/19/2016","In Attendance","214242224|12/19/2016"
"3911","214242224","12/20/2016","In Attendance","214242224|12/20/2016"
"3912","214242224","12/21/2016","In Attendance","214242224|12/21/2016"
"3913","214242224","12/22/2016","Unexcused Absence","214242224|12/22/2016"
"3920","214291114","12/5/2016","In Attendance","214291114|12/5/2016"
"3921","214291114","12/9/2016","In Attendance","214291114|12/9/2016"
"3993","214291114","12/5/2016","In Attendance","214291114|12/5/2016"
"3996","214291114","12/9/2016","In Attendance","214291114|12/9/2016"
"4103","214313231","12/15/2016","In Attendance","214313231|12/15/2016"
"4104","214313231","12/16/2016","In Attendance","214313231|12/16/2016"
"4105","214313231","12/19/2016","In Attendance","214313231|12/19/2016"
"4106","214313231","12/20/2016","In Attendance","214313231|12/20/2016"
"4107","214313231","12/21/2016","In Attendance","214313231|12/21/2016"
"4108","214313231","12/22/2016","In Attendance","214313231|12/22/2016"
"4109","214313231","1/4/2017","In Attendance","214313231|1/4/2017"
"4110","214313231","1/4/2017","In Attendance","214313231|1/4/2017"
"4194","214313231","12/15/2016","In Attendance","214313231|12/15/2016"
"4196","214313231","12/19/2016","In Attendance","214313231|12/19/2016"
"4197","214313231","12/20/2016","In Attendance","214313231|12/20/2016"
"4198","214313231","12/21/2016","In Attendance","214313231|12/21/2016"
"4199","214313231","12/22/2016","In Attendance","214313231|12/22/2016"
"10426","214313231","12/16/2016","Tardy","214313231|12/16/2016"
"4204","214326308","1/4/2017","In Attendance","214326308|1/4/2017"
"4217","214326308","1/23/2017","In Attendance","214326308|1/23/2017"
"4218","214326308","1/24/2017","In Attendance","214326308|1/24/2017"
"4357","214326308","1/4/2017","In Attendance","214326308|1/4/2017"
"4358","214326308","1/23/2017","In Attendance","214326308|1/23/2017"
"4359","214326308","1/24/2017","In Attendance","214326308|1/24/2017"
"4371","214330821","1/23/2017","In Attendance","214330821|1/23/2017"
"4372","214330821","1/24/2017","In Attendance","214330821|1/24/2017"
"4431","214330821","5/5/2017","In Attendance","214330821|5/5/2017"
"4433","214330821","5/9/2017","In Attendance","214330821|5/9/2017"
"4434","214330821","5/10/2017","In Attendance","214330821|5/10/2017"
"4435","214330821","5/11/2017","In Attendance","214330821|5/11/2017"
"4441","214330821","11/10/2016","In Attendance","214330821|11/10/2016"
"4442","214330821","12/2/2016","In Attendance","214330821|12/2/2016"
"4444","214330821","12/6/2016","In Attendance","214330821|12/6/2016"
"4445","214330821","12/8/2016","In Attendance","214330821|12/8/2016"
"4450","214330821","12/15/2016","Unexcused Absence","214330821|12/15/2016"
"4451","214330821","12/16/2016","In Attendance","214330821|12/16/2016"
"4452","214330821","12/19/2016","Unexcused Absence","214330821|12/19/2016"
"4453","214330821","12/20/2016","Unexcused Absence","214330821|12/20/2016"
"4454","214330821","12/21/2016","Unexcused Absence","214330821|12/21/2016"
"4455","214330821","12/22/2016","Unexcused Absence","214330821|12/22/2016"
"4457","214330821","11/10/2016","In Attendance","214330821|11/10/2016"
"4467","214330821","12/2/2016","In Attendance","214330821|12/2/2016"
"4468","214330821","12/5/2016","In Attendance","214330821|12/5/2016"
"4469","214330821","12/6/2016","In Attendance","214330821|12/6/2016"
"4471","214330821","12/8/2016","In Attendance","214330821|12/8/2016"
"4472","214330821","12/15/2016","In Attendance","214330821|12/15/2016"
"4473","214330821","12/16/2016","In Attendance","214330821|12/16/2016"
"4474","214330821","12/19/2016","In Attendance","214330821|12/19/2016"
"4475","214330821","12/20/2016","In Attendance","214330821|12/20/2016"
"4476","214330821","12/21/2016","In Attendance","214330821|12/21/2016"
"4477","214330821","12/22/2016","In Attendance","214330821|12/22/2016"
"4478","214330821","1/24/2017","In Attendance","214330821|1/24/2017"
"4480","214330821","5/5/2017","In Attendance","214330821|5/5/2017"
"4481","214330821","5/9/2017","Unexcused Absence","214330821|5/9/2017"
