"415","207052606","10/5/2016","In Attendance","207052606|10/5/2016"
"416","207052606","10/6/2016","In Attendance","207052606|10/6/2016"
"417","207052606","10/7/2016","Unexcused Absence","207052606|10/7/2016"
"418","207052606","10/11/2016","In Attendance","207052606|10/11/2016"
"419","207052606","10/12/2016","In Attendance","207052606|10/12/2016"
"420","207052606","10/13/2016","In Attendance","207052606|10/13/2016"
"421","207052606","10/14/2016","In Attendance","207052606|10/14/2016"
"422","207052606","10/17/2016","In Attendance","207052606|10/17/2016"
"423","207052606","10/18/2016","In Attendance","207052606|10/18/2016"
"424","207052606","10/19/2016","In Attendance","207052606|10/19/2016"
"425","207052606","10/20/2016","In Attendance","207052606|10/20/2016"
"426","207052606","10/21/2016","In Attendance","207052606|10/21/2016"
"427","207052606","10/24/2016","In Attendance","207052606|10/24/2016"
"428","207052606","10/25/2016","In Attendance","207052606|10/25/2016"
"429","207052606","10/26/2016","In Attendance","207052606|10/26/2016"
"430","207052606","10/27/2016","In Attendance","207052606|10/27/2016"
"431","207052606","10/28/2016","In Attendance","207052606|10/28/2016"
"432","207052606","10/31/2016","In Attendance","207052606|10/31/2016"
"433","207052606","11/1/2016","In Attendance","207052606|11/1/2016"
"434","207052606","11/2/2016","In Attendance","207052606|11/2/2016"
"435","207052606","11/3/2016","In Attendance","207052606|11/3/2016"
"436","207052606","11/4/2016","In Attendance","207052606|11/4/2016"
"437","207052606","11/7/2016","In Attendance","207052606|11/7/2016"
"438","207052606","11/8/2016","In Attendance","207052606|11/8/2016"
"439","207052606","11/9/2016","In Attendance","207052606|11/9/2016"
"440","207052606","11/10/2016","Unexcused Absence","207052606|11/10/2016"
"441","207052606","11/14/2016","Unexcused Absence","207052606|11/14/2016"
"442","207052606","11/15/2016","In Attendance","207052606|11/15/2016"
"443","214751406","9/27/2016","Tardy","214751406|9/27/2016"
"444","217531037","9/27/2016","Tardy","217531037|9/27/2016"
"445","220076152","9/27/2016","Tardy","220076152|9/27/2016"
"446","207052606","11/21/2016","In Attendance","207052606|11/21/2016"
